"sitename","regionnumb","trendsite","rookery","Month","Day","Year","adultcount","counttype","source","Replicate","counter","comments"
"ROUND ROCK",5,"0","0",7,5,1990,0,1,2,"N",,
"ROUND ROCK",5,"0","0",6,21,1996,0,1,2,"N",,"Sease et al, 1999 (96 survey)"
"ROUND ROCK",5,"0","0",12,31,1995,14,7,2,"N",,"from adf&g, fall 2000"
"ROUND ROCK",5,"0","0",12,2,1994,1,1,2,"N",,"adf&g data sheet"
"ROUND ROCK",5,"0","0",6,13,1994,0,1,2,"N",,"Strick et al, 1997 (94 aer survey)"
"ROUND ROCK",5,"0","0",3,16,1993,4,1,2,"N",,"checked to excel spreadsheet"
"ROUND ROCK",5,"0","0",7,5,1992,0,1,2,"R",,"from adf&g, fall 2000"
"ROUND ROCK",5,"0","0",6,20,1991,0,1,2,"N",,"Merrick et al, 1992 (91 surv)"
"ROUND ROCK",5,"0","0",6,20,1989,0,1,2,"N",,"DCM data sheet"
"ROUND ROCK",5,"0","0",7,17,1982,1,99,2,"N",,"Calkins & Pitcher ?1984"
"ROUND ROCK",5,"0","0",5,99,1975,0,99,2,"N",,"Calkins & Pitcher ?1984"
"ROUND ROCK",5,"0","0",6,10,1992,0,1,2,"R",,"from adf&g, fall 2000"
"ROUND ROCK",5,"0","0",6,24,2009,0,4,1,"N",,"logs for chkcnt"
"ROUND ROCK",5,"0","0",6,8,2008,0,4,1,"N",,"Sweeney&Gudmundson counters, logs for chkcnt, "
"ROUND ROCK",5,"0","0",6,23,2013,0,4,1,"n","KLS, LF",
"ROUND ROCK",5,"0","0",6,7,2010,0,4,1,"N","KLS",
"SAIL",5,"0","0",3,15,2001,41,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",6,20,2003,3,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",7,9,2001,5,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",8,23,2001,644,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",6,27,2015,520,3,1,"Y","KLS","Otter aerial image count. "
"SAIL",5,"0","0",1,5,2004,100,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",4,22,2003,164,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",2,20,2002,59,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",6,19,2002,7,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",3,19,2004,161,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",10,23,2001,387,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",11,12,2002,222,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",8,14,2002,614,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",8,19,2003,404,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",9,25,2001,601,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",1,9,2003,163,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",4,16,2003,117,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",2,25,2004,118,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",1,16,2002,48,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",5,14,2002,200,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",4,19,2002,119,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",5,1,2002,121,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",6,20,2003,42,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",2,21,2003,124,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",5,7,2003,124,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",12,3,2003,248,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",7,21,2003,248,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",5,15,2001,150,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",9,11,2002,1124,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",10,14,2003,274,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",10,7,2002,1110,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",6,27,2015,517,3,1,"Y","LF","Otter aerial image count. "
"SAIL",5,"0","0",5,17,2004,1,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",4,9,2002,88,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",4,21,2004,85,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",4,30,2003,188,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",12,13,2002,191,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",4,17,2001,90,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",3,22,2002,32,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",6,12,2001,316,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",3,19,2003,75,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",9,9,2003,1297,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",11,17,2003,313,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SAIL",5,"0","0",12,30,1995,53,7,2,"N",,"from adf&g, fall 2000"
"SAIL",5,"0","0",3,16,1993,11,1,2,"N",,"checked to excel spreadsheet"
"SAIL",5,"0","0",6,28,2000,1,1,2,"N",,"from ADF&G"
"SAIL",5,"0","0",6,21,1996,2,1,2,"N",,"Sease et al, 1999 (96 survey)"
"SAIL",5,"0","0",1,12,1996,0,99,2,"N",,"from adf&g, fall 2000"
"SAIL",5,"0","0",7,5,1992,170,1,2,"N",,"Sease et al, 1993"
"SAIL",5,"0","0",10,28,1995,570,7,2,"N",,"from adf&g, fall 2000"
"SAIL",5,"0","0",12,2,1994,149,1,2,"N",,"adf&g data sheet"
"SAIL",5,"0","0",10,24,1993,931,1,2,"N",,"RECONNAISSANCE FLIGHT BY D.  MCALLISTER"
"SAIL",5,"0","0",11,2,1995,373,7,2,"N",,"from adf&g, fall 2000"
"SAIL",5,"0","0",6,14,1994,22,1,2,"N",,"incorrectly entered as 44-adf&g has 22; Strick et al, 1997 (94 aer survey)"
"SAIL",5,"0","0",7,12,2010,976,3,1,"y","LF",
"SAIL",5,"0","0",6,24,2009,492,3,1,"N","SF","logs for chkcnt"
"SAIL",5,"0","0",6,23,2013,418,3,1,"n","LF",
"SAIL",5,"0","0",6,23,2013,413,3,1,"n","KLS",
"SAIL",5,"0","0",7,12,2010,983,3,1,"Y","KLS",
"SAIL",5,"0","0",6,7,2010,0,4,1,"Y","KLS",
"SAIL",5,"0","0",7,6,2002,0,2,5,"N",,"Perryman et al., La Jolla"
"SAIL",5,"0","0",6,24,2009,499,3,1,"N","KLS","logs for chkcnt"
"SAIL",5,"0","0",6,8,2008,3,4,1,"N",,"Sweeney&Gudmundson counters, logs for chkcnt, "
"SAKIE POINT",5,"0","0",6,27,2015,0,4,1,"N","LF, JC, ML","Visual obs recorded in data book or log."
"SAKIE POINT",5,"0","0",6,12,1994,0,1,2,"N",,"Strick et al, 1997 (94 aer survey)"
"SAKIE POINT",5,"0","0",12,3,1994,0,1,2,"N",,"adf&g data sheet"
"SAKIE POINT",5,"0","0",6,21,1996,0,1,2,"N",,"Sease et al, 1999 (96 survey)"
"SAKIE POINT",5,"0","0",6,24,2009,0,4,1,"N",,"logs for chkcnt"
"SAKIE POINT",5,"0","0",6,8,2008,0,4,1,"N",,"Sweeney&Gudmundson counters, logs for chkcnt, "
"SAKIE POINT",5,"0","0",6,7,2010,0,4,1,"N","KLS",
"SEA LION ISLANDS",5,"1","0",6,24,2015,554,3,1,"Y","KLS","Otter aerial image count. "
"SEA LION ISLANDS",5,"1","0",6,24,2015,559,3,1,"Y","LF","Otter aerial image count. "
"SEA LION ISLANDS",5,"1","0",7,8,1991,4,1,2,"R",,"from adf&g, fall 2000"
"SEA LION ISLANDS",5,"1","0",6,10,1992,0,1,2,"R",,"from adf&g, fall 2000"
"SEA LION ISLANDS",5,"1","0",6,12,1992,12,1,2,"R",,"from adf&g, fall 2000"
"SEA LION ISLANDS",5,"1","0",3,13,1993,29,1,2,"N",,"checked to excel spreadsheet"
"SEA LION ISLANDS",5,"1","0",6,13,1994,0,1,2,"N",,"checked to excel spreadsheet"
"SEA LION ISLANDS",5,"1","0",11,29,1994,433,1,2,"N",,"adf&g data sheet"
"SEA LION ISLANDS",5,"1","0",2,1,1996,199,1,2,"N",,"from adf&g, fall 2000"
"SEA LION ISLANDS",5,"1","0",6,22,1996,0,1,2,"N",,"Sease et al, 1999 (96 survey)"
"SEA LION ISLANDS",5,"1","0",6,24,2000,7,1,2,"N",,"from ADF&G"
"SEA LION ISLANDS",5,"1","0",6,10,1982,0,99,2,"R",,"from adf&g, fall 2000"
"SEA LION ISLANDS",5,"1","0",7,5,1991,11,1,2,"R",,"from adf&g, fall 2000"
"SEA LION ISLANDS",5,"1","0",6,20,1998,0,1,2,"N",,"Sease & Loughlin 1999"
"SEA LION ISLANDS",5,"1","0",7,1,1991,2,1,2,"R",,"from adf&g, fall 2000"
"SEA LION ISLANDS",5,"1","0",6,30,1991,0,1,2,"R",,"from adf&g, fall 2000"
"SEA LION ISLANDS",5,"1","0",6,29,1991,0,1,2,"R",,"from adf&g, fall 2000"
"SEA LION ISLANDS",5,"1","0",6,27,1991,0,1,2,"R",,"from adf&g, fall 2000"
"SEA LION ISLANDS",5,"1","0",6,21,1991,0,1,2,"R",,"Merrick et al, 1992 (91 surv)"
"SEA LION ISLANDS",5,"1","0",7,8,1990,0,1,2,"N",,
"SEA LION ISLANDS",5,"1","0",6,20,1989,0,1,2,"N",,"DCM data sheet"
"SEA LION ISLANDS",5,"1","0",7,15,1984,0,99,2,"N",,
"SEA LION ISLANDS",5,"1","0",2,11,1984,0,99,2,"N",,"from adf&g, fall 2000"
"SEA LION ISLANDS",5,"1","0",5,99,1975,200,99,2,"N",,"Calkins & Pitcher ?1984"
"SEA LION ISLANDS",5,"1","0",6,12,1982,12,99,2,"R",,"from adf&g, fall 2000"
"SEA LION ISLANDS",5,"1","0",7,17,1982,0,99,2,"R",,"Calkins & Pitcher ?1984"
"SEA LION ISLANDS",5,"1","0",7,4,1991,3,1,2,"R",,"from adf&g, fall 2000"
"SEA LION ISLANDS",5,"1","0",6,8,2010,271,3,1,"N","CJ",
"SEA LION ISLANDS",5,"1","0",6,25,2009,301,3,1,"N","KLS","logs for chkcnt"
"SEA LION ISLANDS",5,"1","0",6,28,2004,175,2,5,"N",,
"SEA LION ISLANDS",5,"1","0",6,24,2013,542,3,1,"n","LF",
"SEA LION ISLANDS",5,"1","0",6,7,2008,136,3,1,"N",,"Sweeney&Gudmundson counters, logs for chkcnt, "
"SEA LION ISLANDS",5,"1","0",6,24,2013,542,3,1,"n","KLS",
"SEA LION ISLANDS",5,"1","0",6,7,2008,138,3,1,"N",,"Sweeney&Gudmundson counters, logs for chkcnt, "
"SEA LION ISLANDS",5,"1","0",6,25,2009,295,3,1,"N","SF","logs for chkcnt"
"SEA LION ISLANDS",5,"1","0",6,8,2010,271,3,1,"N","SF",
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",6,27,2015,138,3,1,"Y","LF","Otter aerial image count. "
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",6,27,2015,133,3,1,"Y","KLS","Otter aerial image count. "
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",6,21,1996,165,1,2,"N",,"Sease et al, 1999 (96 survey)"
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",6,21,1998,422,1,2,"N",,"Sease & Loughlin 1999med.-format vertical photography"
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",1,31,1996,17,1,2,"N",,"from adf&g, fall 2000"
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",12,3,1994,9,1,2,"N",,"adf&g data sheet"
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",6,24,2000,212,1,2,"N",,"from ADF&G"
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",6,24,2009,123,3,1,"N","SF","logs for chkcnt"
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",6,24,2009,125,3,1,"N","KLS","logs for chkcnt"
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",6,22,2013,219,3,1,"n","LF",
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",6,7,2010,113,3,1,"Y","CJ",
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",6,7,2008,0,4,1,"N",,"Sweeney&Gudmundson counters, logs for chkcnt, "
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",6,7,2010,113,3,1,"Y","SF",
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",6,22,2013,218,3,1,"n","KLS",
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",7,5,2002,264,2,5,"N",,"Perryman et al., La Jolla"
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",6,28,2004,255,2,5,"N",,
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",7,12,2010,16,3,1,"Y","KLS",
"SEA LION ROCK (PUFFIN BAY)",5,"0","0",7,12,2010,16,3,1,"y","LF",
"SITKAGI BLUFFS",5,"1","0",6,28,2015,0,4,1,"N","LF, JC, ML","Visual obs recorded in data book or log."
"SITKAGI BLUFFS",5,"1","0",6,99,1976,20,1,99,"N",,
"SITKAGI BLUFFS",5,"1","0",6,17,1989,0,1,2,"N",,"DCM data sheet"
"SITKAGI BLUFFS",5,"1","0",11,29,1994,326,1,2,"N",,
"SITKAGI BLUFFS",5,"1","0",7,12,1990,0,1,2,"N",,
"SITKAGI BLUFFS",5,"1","0",6,22,1991,0,1,2,"N",,"DCM data sheet"
"SITKAGI BLUFFS",5,"1","0",6,11,1992,0,1,2,"R",,"checked to adf&g count sheet"
"SITKAGI BLUFFS",5,"1","0",6,23,1992,0,1,2,"R",,"checked to adf&g count sheet"
"SITKAGI BLUFFS",5,"1","0",3,13,1993,0,1,2,"N",,"checked to excel spreadsheet,date should 9 march ?????"
"SITKAGI BLUFFS",5,"1","0",6,13,1994,0,1,2,"N",,"Strick et al, 1997 (94 aer survey)"
"SITKAGI BLUFFS",5,"1","0",6,9,2010,0,4,1,"N","KLS",
"SITKAGI BLUFFS",5,"1","0",6,9,2008,0,4,1,"N",,"Sweeney&Gudmundson counters, logs for chkcnt, "
"SITKAGI BLUFFS",5,"1","0",6,13,2002,0,1,1,"N",,"survey spreadsheet"
"SITKAGI BLUFFS",5,"1","0",3,99,1976,199,1,2,"N",,"Calkins and Pitcher 1982"
"SITKAGI BLUFFS",5,"1","0",6,25,2013,0,4,1,"n","KLS, LF",
"SITKAGI BLUFFS",5,"1","0",6,25,2009,0,4,1,"N",,"logs for chkcnt"
"SITUK",5,"0","0",4,15,2013,0,4,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"SITUK",5,"0","0",4,29,2013,0,4,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"SITUK",5,"0","0",3,21,2013,205,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"SITUK",5,"0","0",3,4,2013,196,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"SITUK",5,"0","0",5,15,2013,0,4,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"SOUTH MARBLE",5,"0","0",8,14,2011,413,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,6,2008,444,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,19,2004,449,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,21,2009,425,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",5,14,2004,787,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,4,2005,468,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",4,29,2002,539,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,16,2014,1510,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",9,10,2002,539,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",3,19,2004,540,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",7,31,2008,252,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",4,15,2003,542,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,8,2010,1121,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,6,2010,1097,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,30,2009,900,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,14,2010,2077,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",10,15,2003,524,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",1,8,2004,241,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,4,2008,633,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,7,2005,716,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,17,2010,1458,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,13,2014,1614,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,11,2001,280,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,6,2009,608,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",5,6,2003,396,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,13,2010,718,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,5,2009,607,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",3,19,2004,540,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,15,2010,1275,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,8,2005,532,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",7,22,2003,457,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,30,2010,713,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,4,2008,478,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",4,20,2004,754,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,20,2011,1220,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",12,18,2001,381,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",11,17,2003,287,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,8,2008,764,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,12,2014,1616,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,13,2010,1233,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",2,25,2004,623,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,7,2008,520,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",2,18,2002,285,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,5,2008,515,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",5,14,2001,458,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,24,2015,1944,3,1,"Y","KLS","Otter aerial image count. "
"SOUTH MARBLE",5,"0","0",4,18,2006,416,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",4,18,2002,664,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",3,8,2005,365,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,14,2007,151,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",3,5,2006,163,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",10,22,2001,647,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",7,23,2005,400,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,23,2009,1123,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,22,2014,956,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",3,3,2006,406,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",4,16,2001,746,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",4,21,2003,641,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,15,2004,456,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",9,10,2003,639,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",2,25,2004,623,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",11,13,2002,356,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,12,2007,225,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",4,8,2002,618,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",5,15,2002,616,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,22,2001,309,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,19,2011,1168,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",3,16,2001,315,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,24,2015,1961,3,1,"Y","LF","Otter aerial image count. "
"SOUTH MARBLE",5,"0","0",7,12,2008,303,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",7,18,2002,188,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",3,6,2006,167,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,24,2009,1190,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,22,2009,1174,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",10,9,2002,791,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,19,2003,723,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",7,23,2005,325,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,21,2012,1146,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",7,12,2008,334,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,16,2010,1150,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",4,20,2004,754,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",4,7,2010,334,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",7,20,2006,360,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,15,2002,172,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",3,7,2006,165,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,17,2011,1121,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",5,14,2004,787,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,15,2014,2350,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",1,8,2004,241,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",12,23,2003,372,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",4,20,2006,546,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,17,2008,797,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",8,15,2007,209,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",4,8,2010,560,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",1,10,2003,220,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",6,16,2011,883,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"SOUTH MARBLE",5,"0","0",7,10,2009,647,7,7,"N",,"J. Womble, National Park Service, Juneau, AK"
